trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",30,0,-62.64675251536795,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,0,-50.83691694159689,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,0,-72.70875819875477,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,14,7.826572794928383,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",30,16,8.777300501204504,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,0,-45.352691271290155,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,-55.14899908169525,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-83.03116304542836,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",30,13,-126.57625941721668,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,4.374697238349309,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,18,14.304510126085631,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,7,-45.88587615499088,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,1,-45.76169812590507,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,0,-104.13159430932846,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,8,-33.08643400916739,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",30,0,-16.334297196336273,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,15,9.308453531331914,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",30,16,-5.058581129076929,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",30,10,-160.4911298302672,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,9,4.172065163695771,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
